time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-09-05T09:19:24.420Z,-26.687,-114.3792,10,5.1,mb,,82,37.411,0.76,us,usb000s9ep,2014-09-05T09:42:09.160Z,"Easter Island region",earthquake
2014-09-05T09:01:21.160Z,-26.8095,-114.2853,10,4.8,mb,,155,37.406,1.01,us,usb000s9ek,2014-09-05T09:34:07.423Z,"Easter Island region",earthquake
2014-09-05T07:21:51.170Z,25.8498,125.2413,75.7,5.2,mb,,79,3.496,1.3,us,usb000s9e1,2014-09-05T07:42:47.083Z,"116km N of Hirara, Japan",earthquake
2014-09-05T06:30:57.480Z,-17.6821,-178.5174,576.77,4.8,mb,,72,3.269,0.85,us,usb000s9dw,2014-09-05T06:58:10.000Z,"263km ESE of Lambasa, Fiji",earthquake
2014-09-05T02:23:33.190Z,51.6284,177.092,44.26,4.6,mb,,185,1.402,0.65,us,usb000s9d2,2014-09-05T02:40:30.642Z,"63km SW of Kiska Volcano, Alaska",earthquake
2014-09-05T01:19:38.360Z,64.6947,-17.1161,4.87,5.2,mb,,76,8.679,1.02,us,usb000s9cv,2014-09-05T09:22:21.213Z,"104km WNW of Hofn, Iceland",earthquake
2014-09-04T21:00:03.980Z,36.2901,30.8995,68.82,5.2,mb,,46,0.92,0.71,us,usb000s99n,2014-09-05T09:58:22.233Z,"40km SE of Tekirova, Turkey",earthquake
2014-09-04T17:43:40.600Z,40.1499,24.8338,16.29,5,mwr,,39,1.189,0.69,us,usb000s968,2014-09-04T22:04:40.681Z,"36km NW of Myrina, Greece",earthquake
2014-09-04T17:23:15.680Z,-26.6793,-114.4776,10,5.1,mb,,52,37.621,0.7,us,usb000s960,2014-09-05T01:25:50.545Z,"Easter Island region",earthquake
2014-09-04T17:10:57.500Z,-20.6814,-175.7096,47.83,4.8,mb,,56,5.671,0.83,us,usb000s95s,2014-09-05T01:13:27.539Z,"72km NW of Nuku`alofa, Tonga",earthquake
2014-09-04T17:05:07.360Z,55.9023,114.0335,10,4.6,mb,,110,7.495,1.24,us,usb000s95c,2014-09-05T01:07:39.043Z,"46km SE of Severomuysk, Russia",earthquake
2014-09-04T15:40:15.920Z,-11.4912,161.823,17.68,4.8,mb,,106,2.75,0.89,us,usc000s9zr,2014-09-04T23:43:26.349Z,"115km S of Kirakira, Solomon Islands",earthquake
2014-09-04T14:27:51.290Z,50.29,156.2213,89.28,4.9,mb,,124,2.968,0.87,us,usc000s9ze,2014-09-04T22:33:26.546Z,"43km S of Severo-Kuril'sk, Russia",earthquake
2014-09-04T09:26:53.190Z,-20.7182,-70.3117,31.86,5.1,mb,,51,0.18,0.86,us,usc000s9wh,2014-09-04T22:04:27.000Z,"57km SSW of Iquique, Chile",earthquake
2014-09-04T05:33:46.430Z,-21.3965,-173.2577,11.83,6,mwb,,26,3.886,1.38,us,usc000s9v5,2014-09-05T00:38:39.608Z,"175km E of `Ohonua, Tonga",earthquake
2014-09-03T23:34:14.730Z,18.8985,-81.3167,10,5.2,mb,,25,0.43,1.21,us,usc000s9tf,2014-09-05T00:24:55.607Z,"43km S of George Town, Cayman Islands",earthquake
2014-09-03T23:00:41.670Z,-27.8839,-66.7656,149.03,4.5,mb,,78,2.348,1.09,us,usc000s9t1,2014-09-04T07:03:20.395Z,"36km SE of Belen, Argentina",earthquake
2014-09-03T22:49:35.620Z,42.8085,142.669,42.02,4.9,mb,,97,0.871,0.56,us,usc000s9t0,2014-09-04T06:52:17.638Z,"45km WSW of Obihiro, Japan",earthquake
2014-09-03T20:34:00.300Z,-26.5482,-114.6284,10,5.9,mwb,,35,4.764,1.04,us,usc000s9q5,2014-09-04T19:54:48.706Z,"Easter Island region",earthquake
2014-09-03T15:14:52.800Z,-10.9027,162.1035,39.4,5.2,mb,,30,2.573,0.77,us,usc000s9kg,2014-09-04T00:03:52.446Z,"53km SSE of Kirakira, Solomon Islands",earthquake
2014-09-03T13:43:58.080Z,15.1386,122.3537,10,5.3,mb,,37,7.732,0.78,us,usc000s99e,2014-09-04T04:02:45.782Z,"37km ENE of Carlagan, Philippines",earthquake
2014-09-03T11:34:40.100Z,-14.9205,-172.9044,10,5.7,mww,,54,1.484,1.23,us,usc000s98u,2014-09-04T20:05:21.446Z,"138km SSW of Gataivai, Samoa",earthquake
2014-09-03T10:11:15.500Z,35.2732,141.1963,23.18,4.8,mb,,120,2.438,1.4,us,usc000s98m,2014-09-03T18:13:58.008Z,"60km SSE of Hasaki, Japan",earthquake
2014-09-03T10:01:04.140Z,18.9649,-81.3405,10,5.1,mb,,26,0.376,1.28,us,usc000s98a,2014-09-04T02:55:46.293Z,"35km S of George Town, Cayman Islands",earthquake
2014-09-03T08:13:27.770Z,-15.1064,-173.6,10,4.9,mb,,61,5.283,0.87,us,usc000s97i,2014-09-04T15:54:00.000Z,"94km N of Hihifo, Tonga",earthquake
2014-09-03T07:43:31.950Z,-15.0063,-173.5139,10,5.7,mb,,23,5.305,1.6,us,usc000s97b,2014-09-04T20:01:52.637Z,"107km NNE of Hihifo, Tonga",earthquake
2014-09-03T07:24:20.090Z,36.8949,139.4494,15.1,5.2,mb,,93,1.059,0.95,us,usc000s978,2014-09-03T11:02:30.270Z,"21km NW of Nikko, Japan",earthquake
2014-09-03T07:23:24.140Z,-15.0005,-173.662,10,4.7,mb,,60,14.573,0.98,us,usc000s979,2014-09-03T15:26:01.911Z,"105km N of Hihifo, Tonga",earthquake
2014-09-03T03:09:56.410Z,64.769,-17.2934,5,5.2,mb,,63,1.729,1.08,us,usc000s96j,2014-09-04T15:53:57.000Z,"108km SSE of Akureyri, Iceland",earthquake
2014-09-02T23:41:31.090Z,-11.582,-112.0104,10,5.5,mwp,,34,31.858,1.05,us,usc000s961,2014-09-04T15:53:56.000Z,"Central East Pacific Rise",earthquake
2014-09-02T22:53:39.640Z,64.5893,-17.7535,10,4.6,mb,,108,1.545,1.34,us,usc000s95r,2014-09-03T06:56:18.925Z,"123km S of Akureyri, Iceland",earthquake
2014-09-02T22:22:00.850Z,10.8179,-69.5124,10,4.8,mb,,99,1.746,1.35,us,usc000s95i,2014-09-03T06:24:27.267Z,"2km E of Churuguara, Venezuela",earthquake
2014-09-02T20:00:12.800Z,-27.9218,-176.6585,56.73,5.2,mb,,71,1.728,0.97,us,usc000s93k,2014-09-03T20:44:10.520Z,"192km NE of Raoul Island, New Zealand",earthquake
2014-09-02T19:28:34.040Z,51.6938,178.5499,98.44,4.5,mb,,151,0.565,0.79,us,usc000s92n,2014-09-03T18:54:26.334Z,"28km S of Little Sitkin Island, Alaska",earthquake
2014-09-02T18:39:40.580Z,-10.1653,111.1428,34.99,4.5,mb,,107,2.32,0.87,us,usc000s91n,2014-09-03T18:12:43.552Z,"210km S of Ngulung Wetan, Indonesia",earthquake
2014-09-02T17:04:47.320Z,-22.9591,-176.5034,169.1,4.8,mb,,116,7.278,0.6,us,usc000s90i,2014-09-03T17:40:18.272Z,"236km SW of Vaini, Tonga",earthquake
2014-09-02T13:55:04.330Z,64.5494,-17.4004,8.17,4.5,mb,,75,1.701,0.76,us,usc000s8x0,2014-09-02T21:57:36.606Z,"110km WNW of Hofn, Iceland",earthquake
2014-09-02T12:39:14.440Z,36.077,69.9987,114.55,4.7,mb,,70,1.145,1.23,us,usc000s8wt,2014-09-02T20:41:44.342Z,"56km SSE of Farkhar, Afghanistan",earthquake
2014-09-02T11:26:54.760Z,64.7171,-17.1226,10,4.5,mb,,108,6.077,1.12,us,usc000s8wn,2014-09-02T19:29:37.120Z,"105km WNW of Hofn, Iceland",earthquake
2014-09-02T07:39:04.440Z,40.2875,72.4721,23.54,4.8,mb,,53,1.286,1.14,us,usc000s8w0,2014-09-02T15:41:42.716Z,"24km E of Karavan, Kyrgyzstan",earthquake
2014-09-02T04:02:56.530Z,27.0172,143.6554,10,4.7,mb,,104,1.314,1.01,us,usc000s8v7,2014-09-02T12:05:22.013Z,"142km E of Chichi-shima, Japan",earthquake
2014-09-01T22:55:22.180Z,-15.0882,-74.9747,61.53,5.2,mb,,121,5.664,0.71,us,usc000s8ty,2014-09-02T18:16:17.000Z,"19km NE of Minas de Marcona, Peru",earthquake
2014-09-01T22:12:00.720Z,-48.8362,106.5885,10,4.6,mb,,127,21.033,0.58,us,usc000s8td,2014-09-02T06:14:28.348Z,"Southeast Indian Ridge",earthquake
2014-09-01T18:58:34.940Z,-9.3825,106.9372,32.99,5.1,mb,,52,1.671,1.07,us,usc000s8s3,2014-09-02T03:01:01.073Z,"179km NE of Flying Fish Cove, Christmas Island",earthquake
